Source,Target,Weight
Rinnegan-Madara,"5-Hearts,Kakuzu",5
"Sannin, Orochimaru","Curse-Mark,Jirobo",15
"Curse-Mark,Kimmimaro","Villan Kaguya",20
"Lover, Hinata","Sharingan,Sasuke",20
Sai'emptiness,Style-Shark/Kisame,5
"Curse-Mark,Anko","Zetsu Black",15
"Zetsu Black","Killer Bee,8-Tails",10
Sarutobi/Asuma,"Lover Rin-Nohara",10
Style-Puppet/Kankuro,"Yukimaru,Tails-,3",10
"Gaara, of the desert","Sannin, Orochimaru",20
"Kakashi ,6th Hokage","Senju, TobiRama",5
"Lady Angel, Konnan","Sharingan,Sasuke",5
"5-Hearts,Kakuzu","Captain Yamato",10
"Zetsu Black","Curse-Mark,Jirobo",5
"Father of all Shinobi,The Sage of,6,Paths","ToadSage/ Master Jiraya",5
"Gaara, of the desert","Pretty, INO",5
Aburame/Shino,"Healer Karin",10
"Hyuga,Hanabi","Lover, Hinata",20
Kushina,"Lover Rin-Nohara",5
Style-Shark/Kisame,"Curse-Mark,Sakon/Ukon",5
"Pretty, INO","Senju, TobiRama",15
"Hyuga,Hanabi","5-Hearts,Kakuzu",20
"Healer Shizune","Haku,Land-of-water",15
"Captain Yamato",Style-Puppet/Kankuro,10
"Curse-Mark,Jirobo","Sharingan,Sasuke",10
"Gaara, of the desert","Curse-Mark,Anko",5
"Suffering, Itachi-Uchiha","Haku,Land-of-water",10
"Curse-Mark,Kimmimaro","Hyuga,Hanabi",5
"Leaf,Danzo","Yukimaru,Tails-,3",15
"Lady Angel, Konnan","Suffering, Itachi-Uchiha",20
"Healer Karin","Curse-Mark,Jugo",5
"Father of all Shinobi,The Sage of,6,Paths",Sasori,5
"Fatso Chozi",Style-Puppet/Kankuro,20
Style-Shark/Kisame,"Gaara, of the desert",5
"5-Hearts,Kakuzu","Senju, TobiRama",10
"Zetsu Black","Curse-Mark,Sakon/Ukon",10
"The child of prophecy,Naruto","Zetsu Black",20
"Curse-Mark,Kimmimaro","Senju, TobiRama",15
"Curse-Mark,Jugo","The child of prophecy,Naruto",10
"Gaara, of the desert","Healer Karin",15
Sai'emptiness,"Kakashi ,6th Hokage",20
Sarutobi/Konohamru,"Gaara, of the desert",15
"Love, Senju HashiRama","Sharingan,Sasuke",10
"Hyuga,Hanabi","Captain Yamato",5
Style-Puppet/Kankuro,Tenten,20
"Slug Princess/Tsunade","Kakashi ,6th Hokage",10
"The child of prophecy,Naruto","Lady Angel, Konnan",15
"Healer Shizune","Fatso Chozi",5
"Zetsu Black","Hyuga,Hanabi",10
"Senju, TobiRama","Slug Princess/Tsunade",10
"Curse-Mark,Kimmimaro","Love, Senju HashiRama",15
"Curse-Mark,Jirobo","Lover, Hinata",15
Rinnegan-Madara,"Hyuga,Hanabi",5
"Slug Princess/Tsunade","Leaf,Danzo",15
"5-Hearts,Kakuzu","Shukhiyome/The divine tree",15
Sarutobi/Asuma,"Leaf,Danzo",10
"Slug Princess/Tsunade","Sannin, Orochimaru",20
"Gaara, of the desert","Healer Shizune",5
"Curse-Mark,Jirobo","Haku,Land-of-water",15
"Captain Yamato","Kurenai Yuhi",10
"Lord Pain, Nagato(GOD)","Sannin, Orochimaru",15
"Curse-Mark,Sakon/Ukon",Sarutobi/Asuma,5
"5-Hearts,Kakuzu","Kurenai Yuhi",10
Kushina,"Curse-Mark,Sakon/Ukon",20
"Father of all Shinobi,The Sage of,6,Paths",Style-Crystal/Guren,5
